Date, AvgThroughput
3/1/2020,"2,280,522"
3/2/2020,"2,089,641"
3/3/2020,"1,736,393"
3/4/2020,"1,877,401"
3/5/2020,"2,130,015"
3/6/2020,"2,198,517"
3/7/2020,"1,844,811"
3/8/2020,"2,119,867"
3/9/2020,"1,909,363"
3/10/2020,"1,617,220"
3/11/2020,"1,702,686"
3/12/2020,"1,788,456"
3/13/2020,"1,714,372"
3/14/2020,"1,485,553"
3/15/2020,"1,519,192"
3/16/2020,"1,257,823"
3/17/2020,"953,699"
3/18/2020,"779,631"
3/19/2020,"620,883"
3/20/2020,"593,167"
3/21/2020,"548,132"
3/22/2020,"454,516"
3/23/2020,"331,431"
3/24/2020,"279,018"
3/25/2020,"239,234"
3/26/2020,"203,858"
3/27/2020,"199,644"
3/28/2020,"184,027"
3/29/2020,"180,002"
3/30/2020,"154,080"
3/31/2020,"146,348"
4/1/2020,"136,023"
4/2/2020,"124,021"
4/3/2020,"129,763"
4/4/2020,"118,302"
4/5/2020,"122,029"
4/6/2020,"108,310"
4/7/2020,"97,130"
4/8/2020,"94,931"
4/9/2020,"104,090"
4/10/2020,"108,977"
4/11/2020,"93,645"
4/12/2020,"90,510"
4/13/2020,"102,184"
4/14/2020,"87,534"
4/15/2020,"90,784"
4/16/2020,"95,085"
4/17/2020,"106,385"
4/18/2020,"97,236"
4/19/2020,"105,382"
4/20/2020,"99,344"
4/21/2020,"92,859"
4/22/2020,"98,968"
4/23/2020,"111,627"
4/24/2020,"123,464"
4/25/2020,"114,459"
4/26/2020,"128,875"
4/27/2020,"119,854"
4/28/2020,"110,913"
4/29/2020,"119,629"
4/30/2020,"154,695"
5/1/2020,"171,563"
5/2/2020,"134,261"
5/3/2020,"170,254"
5/4/2020,"163,692"
5/5/2020,"130,601"
5/6/2020,"140,409"
5/7/2020,"190,863"
5/8/2020,"215,444"
5/9/2020,"169,580"
5/10/2020,"200,815"
5/11/2020,"215,645"
5/12/2020,"163,205"
5/13/2020,"176,667"
5/14/2020,"234,928"
5/15/2020,"250,467"
5/16/2020,"193,340"
5/17/2020,"253,807"
5/18/2020,"244,176"
5/19/2020,"190,477"
5/20/2020,"230,367"
5/21/2020,"318,449"
5/22/2020,"348,673"
5/23/2020,"253,190"
5/24/2020,"267,451"
5/25/2020,"340,769"
5/26/2020,"264,843"
5/27/2020,"261,170"
5/28/2020,"321,776"
5/29/2020,"327,133"
5/30/2020,"268,867"
5/31/2020,"352,947"
6/1/2020,"353,261"
6/2/2020,"267,742"
6/3/2020,"304,436"
6/4/2020,"391,882"
6/5/2020,"419,675"
6/6/2020,"353,016"
6/7/2020,"441,255"
6/8/2020,"430,414"
6/9/2020,"338,382"
6/10/2020,"386,969"
6/11/2020,"502,209"
